receita,nacionalidade,ingredientes,categoria,ocasião,tempo,dificuldade,calorias,açúcar,sódio,proteínas,carboidratos,feedback
Estrogonofe de Soja,Internacional,"['Proteína de soja', 'Creme de leite vegetal', 'Molho de tomate', 'Cebola', 'Alho']",Vegetariano,Almoço,40,Médio,280,1g,150mg,20g,15g,0
Empadão de Frango com Catupiry,Brasileira,"['Massa para empadão', 'Frango desfiado', 'Catupiry', 'Milho', 'Azeitona']",Aves,Jantar,50,Médio,320,3g,180mg,20g,30g,1
Moqueca Vegana,Brasileira,"['Tofu', 'Leite de coco', 'Pimentão', 'Tomate', 'Cebola']",Vegetariano,Almoço,45,Médio,300,2g,200mg,25g,10g,0
Picanha de Soja,Internacional,"['Proteína de soja', 'Shoyu', 'Pimenta-do-reino', 'Alho', 'Óleo']",Vegetariano,Almoço,40,Médio,280,1g,180mg,25g,5g,1
Salada Caesar de Frango,Internacional,"['Alface romana', 'Croutons', 'Queijo parmesão', 'Molho Caesar', 'Frango grelhado']",Salada,Almoço,20,Fácil,180,3g,200mg,20g,20g,0
Farofa de Quinoa,Internacional,"['Quinoa', 'Cenoura', 'Uva-passa', 'Cebola', 'Cheiro-verde']",Acompanhamento,Almoço,25,Fácil,180,2g,150mg,10g,20g,1
Bolo Integral de Maçã,Internacional,"['Farinha integral', 'Maçã', 'Ovo', 'Açúcar mascavo', 'Canela']",Sobremesa,Lanche,45,Médio,280,15g,50mg,5g,35g,1
Yakimeshi Vegano,Japonesa,"['Arroz', 'Legumes', 'Tofu', 'Molho de soja', 'Cebolinha']",Vegetariano,Almoço,35,Médio,250,3g,150mg,10g,25g,0
Empadão de Camarão,Brasileira,"['Massa para empadão', 'Camarão', 'Leite de coco', 'Requeijão', 'Cebola']",Peixes,Jantar,45,Médio,300,2g,180mg,20g,30g,0
Espaguete ao Alho e Óleo,Italiana,"['Espaguete', 'Alho', 'Azeite', 'Pimenta vermelha', 'Salsinha']",Massas,Almoço,30,Fácil,250,2g,100mg,5g,30g,1
Sorvete de Morango,Internacional,"['Morango', 'Leite condensado', 'Creme de leite', 'Açúcar', 'Gelo']",Sobremesa,Lanche,40,Médio,280,25g,30mg,2g,35g,1
Ratatouille Vegano,Francesa,"['Berinjela', 'Abobrinha', 'Pimentão', 'Tomate', 'Cebola']",Vegetariano,Almoço,30,Fácil,200,3g,150mg,5g,20g,0
Pão Integral,Internacional,"['Farinha integral', 'Fermento', 'Açúcar mascavo', 'Sal', 'Água']",Lanche,Café da Manhã,40,Fácil,180,5g,200mg,6g,35g,1
Torta de Legumes com Massa de Grão-de-bico,Internacional,"['Grão-de-bico', 'Legumes variados', 'Tofu', 'Azeite', 'Sal']",Vegetariano,Lanche,45,Médio,280,3g,180mg,15g,20g,1
Cocada Cremosa,Internacional,"['Coco ralado', 'Leite condensado', 'Leite', 'Açúcar']",Sobremesa,Lanche,30,Médio,250,25g,40mg,3g,30g,0
Pizza Vegana de Legumes,Italiana,"['Massa de pizza', 'Molho de tomate', 'Berinjela', 'Abobrinha', 'Pimentão']",Vegetariano,Jantar,45,Médio,300,3g,200mg,20g,15g,1
Pão de Batata Doce,Brasileira,"['Batata doce', 'Fermento', 'Açúcar', 'Sal', 'Água']",Lanche,Café da Manhã,40,Fácil,180,4g,180mg,5g,35g,1
Creme de Abóbora com Gengibre,Internacional,"['Abóbora', 'Gengibre', 'Caldo de legumes', 'Creme de leite', 'Sal']",Sopa,Almoço,35,Fácil,200,3g,150mg,3g,20g,0
Pão de Mel,Internacional,"['Mel', 'Açúcar mascavo', 'Farinha de trigo', 'Canela', 'Leite']",Sobremesa,Lanche,50,Médio,320,20g,30mg,4g,35g,1
Risoto de Tomate Seco,Italiana,"['Arroz arbóreo', 'Tomate seco', 'Vinho branco', 'Queijo parmesão', 'Caldo de legumes']",Vegetariano,Almoço,35,Médio,300,3g,200mg,15g,25g,1
Torta de Frango com Milho,Internacional,"['Massa para torta', 'Frango desfiado', 'Milho', 'Requeijão', 'Azeitona']",Aves,Lanche,45,Médio,300,3g,180mg,20g,30g,1
Salada de Batata com Maionese,Internacional,"['Batata', 'Maionese', 'Cenoura', 'Milho', 'Ervilha']",Salada,Almoço,20,Fácil,180,2g,150mg,5g,20g,0
Sorvete de Manga,Internacional,"['Manga', 'Leite condensado', 'Creme de leite', 'Açúcar', 'Gelo']",Sobremesa,Lanche,40,Médio,280,25g,30mg,2g,35g,0
Panqueca Americana,Americana,"['Farinha de trigo', 'Ovo', 'Leite', 'Açúcar', 'Fermento']",Lanche,Café da Manhã,30,Fácil,200,5g,150mg,6g,20g,0
Sopa de Legumes com Carne,Internacional,"['Carne bovina', 'Batata', 'Cenoura', 'Vagem', 'Caldo de carne']",Sopa,Almoço,35,Fácil,250,3g,200mg,15g,20g,0
Tapioca com Queijo e Presunto,Brasileira,"['Goma de tapioca', 'Queijo muçarela', 'Presunto', 'Orégano', 'Tomate']",Lanche,Café da Manhã,20,Fácil,180,2g,150mg,10g,20g,0
Suco Detox,Internacional,"['Couve', 'Maçã', 'Limão', 'Pepino', 'Água de coco']",Bebida,Lanche,10,Fácil,50,4g,10mg,1g,10g,0
Omelete de Queijo e Presunto,Internacional,"['Ovo', 'Queijo muçarela', 'Presunto', 'Cebola', 'Tomate']",Lanche,Café da Manhã,15,Fácil,120,1g,180mg,10g,5g,0
Mingau de Aveia,Internacional,"['Aveia', 'Leite', 'Açúcar', 'Canela', 'Banana']",Sobremesa,Lanche,20,Fácil,150,15g,50mg,5g,30g,0
Estrogonofe de Frango,Internacional,"['Frango', 'Creme de leite', 'Molho de tomate', 'Mostarda', 'Cebola']",Aves,Almoço,45,Médio,300,2g,200mg,25g,5g,1
Arroz Doce Vegano,Internacional,"['Arroz', 'Leite de coco', 'Açúcar de coco', 'Canela', 'Cravo']",Sobremesa,Lanche,45,Médio,280,20g,20mg,3g,40g,1
Vitamina de Abacate,Internacional,"['Abacate', 'Leite', 'Açúcar', 'Gelo', 'Limão']",Bebida,Lanche,10,Fácil,150,15g,5mg,1g,10g,1
Bruschetta de Tomate e Manjericão,Italiana,"['Pão italiano', 'Tomate', 'Manjericão', 'Azeite', 'Alho']",Lanche,Entrada,25,Fácil,120,3g,100mg,3g,20g,1
Geleia de Morango,Internacional,"['Morango', 'Açúcar', 'Suco de limão']",Sobremesa,Lanche,40,Médio,250,30g,5mg,1g,40g,1
Smoothie de Manga e Banana,Internacional,"['Manga', 'Banana', 'Iogurte', 'Mel', 'Gelo']",Bebida,Lanche,10,Fácil,120,20g,5mg,2g,25g,0
Lasanha de Espinafre,Italiana,"['Massa para lasanha', 'Espinafre', 'Queijo muçarela', 'Molho de tomate', 'Queijo parmesão']",Vegetariano,Jantar,45,Médio,280,3g,200mg,20g,15g,0
Risoto de Abóbora com Frango,Internacional,"['Arroz arbóreo', 'Abóbora', 'Frango desfiado', 'Cebola', 'Queijo parmesão']",Aves,Almoço,40,Médio,320,3g,180mg,20g,25g,0
Pão Australiano,Internacional,"['Farinha de trigo', 'Açúcar mascavo', 'Fermento', 'Mel', 'Cacau']",Lanche,Café da Manhã,40,Fácil,180,5g,150mg,6g,20g,1
Pudim de Leite Condensado,Internacional,"['Leite condensado', 'Leite', 'Ovo', 'Açúcar']",Sobremesa,Lanche,40,Médio,250,20g,50mg,5g,30g,0
Carne de Panela,Brasileira,"['Carne bovina', 'Cebola', 'Alho', 'Tomate', 'Caldo de carne']",Carne,Almoço,40,Médio,300,2g,200mg,25g,5g,1
Salada de Rúcula e Tomate Seco,Internacional,"['Rúcula', 'Tomate seco', 'Queijo parmesão', 'Azeite', 'Vinagre balsâmico']",Salada,Almoço,15,Fácil,100,1g,80mg,3g,5g,1
Pão de Alho,Internacional,"['Pão francês', 'Alho', 'Manteiga', 'Cheiro-verde', 'Sal']",Lanche,Café da Manhã,25,Fácil,150,2g,100mg,4g,20g,1
Sanduíche Natural,Internacional,"['Pão de forma', 'Peito de frango', 'Maionese', 'Alface', 'Tomate']",Lanche,Café da Manhã,15,Fácil,150,2g,100mg,10g,15g,0
Peixe Assado com Legumes,Internacional,"['Filé de peixe', 'Batata', 'Cenoura', 'Abobrinha', 'Pimentão']",Peixes,Almoço,40,Médio,300,1g,180mg,20g,25g,0
Bolinho de Chuva,Brasileira,"['Farinha de trigo', 'Açúcar', 'Ovo', 'Leite', 'Fermento']",Sobremesa,Lanche,30,Fácil,200,10g,20mg,3g,25g,0
Frango ao Molho de Maracujá,Brasileira,"['Peito de frango', 'Maracujá', 'Molho de soja', 'Açúcar', 'Manteiga']",Aves,Almoço,45,Médio,320,2g,180mg,25g,5g,1
Yakissoba de Carne,Chinesa,"['Macarrão', 'Carne bovina', 'Brócolis', 'Cenoura', 'Molho shoyu']",Carne,Almoço,35,Fácil,250,3g,180mg,20g,15g,1
Bolo de Fubá,Brasileira,"['Fubá', 'Ovo', 'Açúcar', 'Leite', 'Fermento']",Sobremesa,Lanche,45,Médio,280,20g,10mg,3g,35g,0
Salpicão de Frango,Brasileira,"['Frango desfiado', 'Maionese', 'Cenoura', 'Milho', 'Batata palha']",Aves,Almoço,30,Fácil,200,2g,150mg,15g,20g,1
Salada de Pera com Gorgonzola,Internacional,"['Pera', 'Queijo gorgonzola', 'Rúcula', 'Nozes', 'Vinagre balsâmico']",Salada,Almoço,20,Fácil,150,5g,100mg,5g,10g,1
Arroz de Camarão,Internacional,"['Arroz', 'Camarão', 'Tomate', 'Cebola', 'Cheiro-verde']",Peixes,Almoço,40,Médio,300,1g,180mg,20g,25g,1
Sorvete de Pistache,Internacional,"['Pistache', 'Leite condensado', 'Creme de leite', 'Açúcar', 'Gelo']",Sobremesa,Lanche,40,Médio,280,25g,30mg,3g,25g,1
Empadão de Bacalhau,Portuguesa,"['Massa para empadão', 'Bacalhau', 'Batata', 'Azeitona', 'Cebola']",Peixes,Jantar,45,Médio,300,2g,200mg,20g,25g,1
Cuca de Banana,Internacional,"['Farinha de trigo', 'Banana', 'Açúcar', 'Manteiga', 'Canela']",Sobremesa,Lanche,50,Médio,320,20g,15mg,5g,30g,1
Risoto de Frutos do Mar,Internacional,"['Arroz arbóreo', 'Frutos do mar', 'Cebola', 'Alho', 'Caldo de peixe']",Peixes,Almoço,50,Médio,350,2g,250mg,20g,30g,0
Batata Recheada,Internacional,"['Batata', 'Requeijão', 'Bacon', 'Queijo cheddar', 'Salsinha']",Acompanhamento,Almoço,40,Médio,280,1g,150mg,10g,25g,0
Macarrão à Carbonara,Italiana,"['Macarrão', 'Bacon', 'Ovo', 'Queijo parmesão', 'Pimenta preta']",Massas,Almoço,35,Médio,300,2g,180mg,20g,25g,1
Rosca de Leite Condensado,Internacional,"['Farinha de trigo', 'Leite condensado', 'Ovo', 'Fermento', 'Açúcar']",Sobremesa,Lanche,40,Médio,250,20g,10mg,3g,35g,0
Ensopado de Carne,Internacional,"['Carne bovina', 'Batata', 'Cenoura', 'Cebola', 'Caldo de carne']",Carne,Almoço,40,Médio,300,2g,180mg,25g,5g,0
Rabanada de Nutella,Internacional,"['Pão amanhecido', 'Nutella', 'Leite', 'Ovo', 'Açúcar']",Sobremesa,Lanche,45,Médio,280,25g,20mg,5g,30g,1
Empadão de Camarão com Catupiry,Brasileira,"['Massa para empadão', 'Camarão', 'Requeijão', 'Azeitonas', 'Cebola']",Peixes,Jantar,45,Médio,320,2g,200mg,20g,25g,0
Yakissoba de Legumes e Tofu,Chinesa,"['Macarrão', 'Tofu', 'Brócolis', 'Cenoura', 'Molho shoyu']",Vegetariano,Almoço,30,Fácil,200,3g,180mg,15g,20g,0
Suco de Manga com Laranja,Internacional,"['Manga', 'Laranja', 'Água', 'Açúcar', 'Gelo']",Bebida,Lanche,10,Fácil,100,10g,5mg,1g,20g,1
Pão de Batata com Recheio de Calabresa,Internacional,"['Batata', 'Calabresa', 'Queijo muçarela', 'Requeijão', 'Leite']",Lanche,Café da Manhã,40,Fácil,180,3g,150mg,10g,25g,1
Salada de Lentilha com Cebola Roxa,Internacional,"['Lentilha', 'Cebola roxa', 'Tomate', 'Salsinha', 'Vinagre']",Salada,Almoço,20,Fácil,180,2g,100mg,5g,20g,1
Bolo de Milho,Brasileira,"['Milho verde', 'Açúcar', 'Fubá', 'Leite', 'Ovo']",Sobremesa,Lanche,45,Médio,280,20g,10mg,3g,35g,1
Macarrão ao Molho Branco,Internacional,"['Macarrão', 'Leite', 'Farinha de trigo', 'Manteiga', 'Queijo parmesão']",Massas,Almoço,35,Médio,300,3g,180mg,20g,25g,1
Feijão Mexicano,Mexicana,"['Feijão', 'Pimentão', 'Milho', 'Pimenta', 'Cebola']",Vegetariano,Almoço,30,Fácil,200,2g,150mg,10g,20g,0
Salada de Pêssego e Ricota,Internacional,"['Pêssego', 'Ricota', 'Rúcula', 'Nozes', 'Vinagre balsâmico']",Salada,Almoço,20,Fácil,150,3g,100mg,5g,10g,1
Macarronada de Forno,Italiana,"['Macarrão', 'Molho de tomate', 'Queijo muçarela', 'Presunto', 'Queijo parmesão']",Massas,Jantar,45,Médio,300,3g,200mg,20g,25g,0
Sanduíche de Peito de Peru,Internacional,"['Pão de forma', 'Peito de peru', 'Maionese', 'Alface', 'Tomate']",Lanche,Café da Manhã,15,Fácil,150,1g,100mg,10g,15g,0
Sorvete de Morango com Chocolate,Internacional,"['Morango', 'Chocolate', 'Leite condensado', 'Creme de leite', 'Açúcar']",Sobremesa,Lanche,40,Médio,280,30g,20mg,3g,25g,1
Yakissoba de Carne e Vegetais,Chinesa,"['Macarrão', 'Carne bovina', 'Brócolis', 'Cenoura', 'Molho shoyu']",Carne,Almoço,35,Fácil,250,3g,180mg,20g,15g,1
Arroz com Pequi,Brasileira,"['Arroz', 'Pequi', 'Frango', 'Cebola', 'Cheiro-verde']",Carne,Almoço,45,Médio,300,2g,200mg,25g,5g,0
Salada de Grão-de-Bico,Internacional,"['Grão-de-bico', 'Tomate', 'Cebola', 'Salsinha', 'Azeite']",Salada,Almoço,25,Fácil,180,2g,100mg,5g,20g,1
Bolo de Mandioca,Brasileira,"['Mandioca', 'Açúcar', 'Leite de coco', 'Ovo', 'Coco ralado']",Sobremesa,Lanche,45,Médio,280,20g,10mg,3g,35g,0
Salada de Repolho,Internacional,"['Repolho', 'Cenoura', 'Maionese', 'Passas', 'Creme de leite']",Salada,Almoço,20,Fácil,180,2g,100mg,5g,20g,1
Brigadeiro Gourmet,Brasileira,"['Leite condensado', 'Chocolate em pó', 'Manteiga', 'Creme de leite', 'Chocolate granulado']",Sobremesa,Lanche,30,Fácil,200,25g,20mg,3g,30g,1
Suflê de Espinafre,Internacional,"['Espinafre', 'Ovo', 'Queijo parmesão', 'Leite', 'Farinha de trigo']",Vegetariano,Almoço,35,Médio,280,2g,150mg,10g,20g,1
Risoto de Linguiça,Internacional,"['Arroz arbóreo', 'Linguiça calabresa', 'Queijo parmesão', 'Cebola', 'Caldo de legumes']",Carne,Almoço,40,Médio,300,3g,200mg,25g,5g,1
Salada de Abobrinha,Internacional,"['Abobrinha', 'Tomate', 'Queijo feta', 'Manjericão', 'Azeite']",Salada,Almoço,20,Fácil,150,3g,100mg,5g,10g,1
Pudim de Coco,Internacional,"['Leite de coco', 'Leite condensado', 'Ovo', 'Açúcar']",Sobremesa,Lanche,40,Médio,250,20g,30mg,5g,30g,0
Empadão de Bacalhau com Catupiry,Brasileira,"['Massa para empadão', 'Bacalhau', 'Requeijão', 'Azeitonas', 'Cebola']",Peixes,Jantar,45,Médio,320,2g,200mg,20g,25g,1
Sanduíche de Presunto e Queijo,Internacional,"['Pão de forma', 'Presunto', 'Queijo muçarela', 'Maionese', 'Alface']",Lanche,Café da Manhã,15,Fácil,150,2g,100mg,10g,15g,1
Torta de Espinafre,Internacional,"['Massa para torta', 'Espinafre', 'Queijo muçarela', 'Creme de leite', 'Ovo']",Vegetariano,Lanche,40,Médio,280,2g,150mg,15g,20g,1
Risoto de Cenoura e Gorgonzola,Italiana,"['Arroz arbóreo', 'Cenoura', 'Queijo gorgonzola', 'Cebola', 'Caldo de legumes']",Vegetariano,Almoço,35,Médio,280,2g,200mg,15g,20g,0
Bolo de Laranja,Brasileira,"['Laranja', 'Açúcar', 'Farinha de trigo', 'Ovo', 'Fermento']",Sobremesa,Lanche,45,Médio,280,15g,10mg,3g,35g,1
Escondidinho de Camarão,Brasileira,"['Camarão', 'Mandioca', 'Requeijão', 'Queijo muçarela', 'Manteiga']",Peixes,Almoço,40,Médio,300,2g,180mg,20g,25g,0
Salada de Lentilha com Abobrinha,Internacional,"['Lentilha', 'Abobrinha', 'Cebola', 'Tomate', 'Salsinha']",Salada,Almoço,25,Fácil,180,2g,100mg,5g,20g,1
Brigadeiro Branco,Brasileira,"['Leite condensado', 'Creme de leite', 'Manteiga', 'Chocolate branco', 'Granulado']",Sobremesa,Lanche,30,Fácil,200,25g,20mg,3g,30g,1
Feijoada Vegetariana,Brasileira,"['Feijão preto', 'Tofu defumado', 'Cenoura', 'Repolho', 'Linguiça vegana']",Vegetariano,Almoço,50,Médio,350,1g,200mg,20g,30g,0
Empadão de Frango com Palmito,Brasileira,"['Massa para empadão', 'Frango desfiado', 'Palmito', 'Requeijão', 'Cebola']",Aves,Jantar,45,Médio,320,2g,200mg,20g,25g,0
Salada de Grão-de-Bico com Atum,Internacional,"['Grão-de-bico', 'Atum', 'Tomate', 'Cebola', 'Salsinha']",Salada,Almoço,20,Fácil,180,2g,100mg,5g,20g,0
Torta de Maçã,Internacional,"['Massa para torta', 'Maçã', 'Açúcar', 'Canela', 'Limão']",Sobremesa,Lanche,45,Médio,280,20g,10mg,3g,35g,0
Yakissoba de Legumes,Chinesa,"['Macarrão', 'Brócolis', 'Cenoura', 'Repolho', 'Molho shoyu']",Vegetariano,Almoço,35,Fácil,250,3g,180mg,20g,15g,1
Arroz Sushi,Japonesa,"['Arroz', 'Alga nori', 'Vinagre de arroz', 'Açúcar', 'Salmão']",Peixes,Almoço,40,Médio,280,2g,150mg,20g,25g,1
Sanduíche de Frango Grelhado,Internacional,"['Pão de forma', 'Peito de frango', 'Maionese', 'Alface', 'Tomate']",Lanche,Café da Manhã,15,Fácil,150,2g,100mg,10g,15g,0
